"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.085525295E0,-2.098390758E-1,-1.719888449E-1,1.268005371E-1
4.105435696E0,6.311295629E-1,3.096325397E-1,-1.000124931E0
4.125324165E0,1.015474200E-1,4.464230537E-1,-1.655225277E0
4.145199450E0,-2.992911935E-1,-1.532423496E-2,-2.072227478E0
4.165088163E0,-5.356978178E-1,-1.237884760E-1,-6.696310043E-1
4.184970773E0,7.447588444E-1,-5.321931839E-2,1.796226501E0
4.204863962E0,-8.869502544E-1,1.923809409E0,3.404489517E0
4.224752512E0,7.945840955E-1,1.385388732E0,6.524953842E-1
4.244653188E0,1.212458968E0,9.185270071E-1,4.383897781E-1
4.264540925E0,7.136156559E-1,3.618276119E-1,-3.427400589E-1
4.284427807E0,-3.089016676E-1,5.136742592E-1,-3.583240509E-1
4.304318391E0,2.699369192E-1,1.612275839E-1,-1.283571243E0
4.324206250E0,1.088686109E0,-4.129260778E-1,-1.060769081E0
4.344092318E0,8.993424177E-1,-1.029417753E0,-1.384729385E0
4.363964063E0,-5.822777748E-3,-1.283796906E0,1.865875244E0
4.383870680E0,-1.185840964E0,-3.153669834E-1,1.953090668E0
4.403745721E0,1.022767544E0,1.942826033E0,-1.242405891E1
4.423633824E0,1.236610532E0,-3.436484337E-1,3.946943283E-1
4.443522008E0,-7.169912457E-1,-3.092802763E-1,3.291031837E0
4.463410233E0,-2.856169939E-1,-2.588785291E-1,-2.405004501E-1
4.483298417E0,4.490119219E-1,1.712224483E0,-5.068407059E-1
4.503186520E0,-2.830833383E-2,1.137108326E0,2.721138000E-1
4.523059445E0,2.413778901E-1,-2.257338613E-1,7.061700821E-1
4.542956215E0,4.138005674E-1,-3.589285314E-1,6.607313156E-1
4.562860878E0,6.503337994E-3,-4.298866391E-1,5.129833221E-1
4.582739337E0,-4.039246440E-1,2.977574766E-1,-2.668066025E-1
4.602638793E0,-8.899730444E-1,7.846599817E-1,-8.121099472E-1
4.622527261E0,-3.118872941E-1,2.739124596E-1,-2.164640427E-1
4.642402506E0,-6.750522852E-1,6.026062965E-1,9.271888733E-1
4.662290731E0,-5.670669079E-1,-7.947015762E-2,2.541509628E0
4.682178711E0,-3.998184800E-1,6.283344030E-1,1.296427727E0
4.702066977E0,8.093754053E-1,1.678345680E0,2.529136658E0
4.721956707E0,1.267873645E0,1.966894865E0,2.925443649E0
4.741857505E0,1.371399641E0,1.983615994E0,7.595653534E-1
4.761745567E0,-1.676149130E0,2.233251572E0,9.140338898E-1
4.781633629E0,-1.878419638E0,1.437985301E0,2.837183952E0
4.801520064E0,-1.045462966E0,9.864027500E-1,3.087347031E0
4.821391688E0,3.206613064E-1,4.700942039E-1,6.986055374E-1
4.841298264E0,-2.642171383E-1,-1.192972660E-1,-6.162370682E0
4.861184617E0,-2.038017988E0,-7.179315090E-1,-7.864896774E0
4.881073289E0,-2.533160686E0,-1.778489828E0,-6.232730389E0
4.900962653E0,-3.553106308E0,-5.989336967E-1,9.288578033E-1
4.920851407E0,-1.711517572E0,-1.514281750E0,2.243270874E-1
4.940726733E0,2.359468937E0,-1.878346443E0,1.350864410E0
4.960614673E0,3.576980829E0,-2.961544991E0,1.064591408E0
4.980502735E0,4.033567429E0,-4.190843105E0,2.410320282E0
5.000390797E0,1.527176380E0,-2.989515305E0,3.933566093E0
5.020279022E0,-1.125921249E0,-6.280577183E-2,4.674245834E0
5.040152029E0,1.648475647E0,-6.585935354E-1,1.758831978E0
5.060054495E0,3.829939365E0,-3.120255470E0,-1.892423630E0
5.079943655E0,-7.472261190E-1,-8.591313362E-1,-2.632761002E-1
5.099832124E0,5.010276437E-1,-1.631138444E0,2.829586029E0
5.119719942E0,1.588537931E0,-3.226376772E0,4.864358902E-1
5.139608330E0,1.990236163E0,-3.674089432E0,-1.311523438E0
5.159496473E0,1.362346888E0,-3.123393059E0,-2.748605728E0
5.179383355E0,-9.234512448E-1,-2.583415985E0,-2.699540615E0
5.199272923E0,-3.315829754E0,-1.317697525E0,-1.717483521E0
5.219161107E0,-2.512930632E0,-1.232953072E-1,4.757308960E-2
5.239060603E0,-1.446250677E0,4.125900269E-1,-1.903292656E0
5.258950577E0,-3.218801975E0,2.341128826E0,-2.105905056E0
5.278838354E0,-4.476179600E0,3.477743149E0,-1.689640999E0
5.298709204E0,-4.451464653E0,3.548503399E0,-1.597140312E0
5.318614763E0,-2.306829929E0,1.020598412E0,2.232952118E-1
5.338503720E0,3.400590897E0,-2.584020376E0,5.603491783E0
5.358389666E0,4.628003120E0,-8.339319229E-1,6.377517700E0
5.378277525E0,3.109903812E0,-2.704092741E0,5.036288261E0
5.398165913E0,2.180482864E0,-6.491692066E0,2.365517616E0
5.418037861E0,1.947225809E0,-7.190733910E0,1.286244392E0
5.437929830E0,1.922348022E0,-5.879459381E0,4.227142334E-1
5.457819153E0,2.055502892E0,-5.644836426E0,-1.747417450E-2
5.477707052E0,8.868469596E-1,-6.467398643E0,2.863588333E-1
5.497594545E0,-7.699545026E-1,-6.055509567E0,1.880397797E-1
5.517482078E0,-1.999747753E0,-5.546501160E0,2.058591843E-1
5.537370221E0,-1.529952288E0,-5.571840286E0,8.206396103E-1
5.557258568E0,-1.432934642E0,-5.526379585E0,-2.314683914E0
5.577146833E0,-1.676356554E0,-5.243271351E0,-8.065527916E0
5.597047550E0,-2.669566154E0,-3.126006365E0,-1.172509003E1
5.616918278E0,-2.474992752E0,7.629108429E-2,-1.084210205E1
5.636812810E0,-2.101796389E0,-2.697935104E-1,-8.308456421E0
5.656700831E0,-7.357652187E-1,-3.136162758E-1,-8.164326668E0
5.676588730E0,1.513771296E0,5.480973721E-1,-7.670721531E0
5.696477240E0,5.398844242E0,1.971677542E0,-6.233393669E0
5.716365302E0,5.654785156E0,4.578071117E0,-4.944904804E0
5.736253608E0,5.631170273E0,4.699639797E0,-4.265557289E0
5.756140246E0,3.395326853E0,3.219957590E0,-2.115454197E0
5.776028552E0,-1.187855124E0,3.293132782E0,4.762113571E0
5.795917835E0,-2.933743477E0,3.242875099E0,1.048823261E1
5.815818999E0,-3.193343878E0,5.248974800E0,1.044616795E1
5.835685292E0,-2.315413713E0,4.577567577E0,1.017759228E1
5.855595042E0,-3.122385025E0,4.893504620E0,4.745555878E0
5.875483714E0,-2.064074039E0,2.966805696E0,3.476905823E0
5.895371410E0,-1.146659970E0,2.784159899E0,5.944419861E0
5.915260001E0,-9.694939852E-1,2.838193417E0,7.454814911E0
5.935119580E0,5.770245790E-1,1.827750921E0,7.540574074E0
5.955021761E0,-9.150903225E-1,8.293180466E-1,5.062604904E0
5.974911369E0,-9.388306141E-1,-5.198259950E-1,3.127911568E0
5.994799635E0,7.151225805E-1,-3.343838453E-1,3.203370094E0
6.014687941E0,1.282531381E0,-2.965147495E-1,3.003430367E0
6.034563674E0,2.049352646E0,-5.783600807E-1,2.962979317E0
6.054464065E0,1.484739542E0,-2.859002948E-1,2.022654533E0
6.074352290E0,3.510601282E0,-1.333256721E0,3.259859085E-1
6.094249792E0,3.421901703E0,-1.806088090E0,-3.026398182E0
6.114140214E0,1.996912241E0,-2.053950787E0,-4.561530113E0
6.134002763E0,5.111533999E-1,-2.268011570E0,-2.627517700E0
6.153905026E0,3.622735739E-1,-2.735509157E0,-2.533066273E0
6.173793251E0,-5.476329327E-1,-2.192381620E0,-3.016268253E0
6.193681354E0,-1.602518559E0,-1.697360277E0,-3.059437752E0
6.213560260E0,-3.572093964E0,-1.614521742E0,-2.930006504E0
6.233457681E0,-6.716536999E0,-8.123152256E-1,-1.333528519E0
6.253371337E0,-1.025824547E1,-7.512388229E-1,8.968191147E-1
6.273228149E0,-1.045857430E1,-1.332464516E-1,6.070807457E0
6.293116537E0,-6.375238895E0,-3.065406322E0,8.859014511E0
6.313004761E0,-1.765500069E0,-6.099116325E0,7.168624878E0
6.332937949E0,-4.155912399E-1,-5.544948101E0,-6.810209751E-1
6.352797813E0,-5.440199375E0,-2.760308743E0,-9.775264740E0
6.372673708E0,-5.941541672E0,-3.077556849E0,-8.238441467E0
6.392562096E0,-2.047750473E0,-1.725358367E0,-7.194741249E0
6.412449995E0,1.441869736E0,-1.707427621E0,-6.297529697E0
6.432338057E0,7.675323486E-1,-7.638074160E-1,-4.979790688E0
6.452226445E0,3.692598343E-1,-5.385832787E-1,-3.732018948E0
6.472100346E0,1.208281517E0,-2.767584324E-1,-2.506175995E0
6.491990280E0,2.603352547E0,-3.716573715E-1,-1.654930592E0
6.511892095E0,4.122253418E0,4.434812069E-1,-9.173122048E-1
6.531780239E0,4.136384964E0,1.470949292E0,-9.798352718E-1
